,question,answer
0,اثری از میرزاده عشقی,کفن سیاه
1,قانون مغولی,یاسا
2,حرف همراهی,با
3,پشم شتر,وبر
4,روش و شیوه,متد
5,عدد ماه,سی
6,قابل مشاهده,مرئی
7,تار عنکبوت,کارتونک
8,از سوغات مشهد,نبات
9,محل عبور سیل,مسیل
10,لذت,حظ
11,گزیدن مار,رکع
12,از پسران فریدون,سلم
13,از ماه‌های زمستان,دی
14,کسانی که از اولاد امام علی (ع) باشند,علوی
15,صبر زرد,الوا
16,اثري از گلچين گيلاني,مهر و کین
17,پایان,تمام
18,کاشف میکروب‌سل,کخ
19,گرداگرد اماکن‌مقدس,حرم
20,از درختان,کاج
21,علامت مفعولی,را
22,استوار,راسی
23,از شهرهای استان‌کرمان,کیانشهر
24,باجه و گیشه,کیوسک
25,سریالی با بازی اندرو لینکلن,مرده متحرک
26,دروازه بان اسبق تیم آرسنال,فابیانسکی
27,هم عقیده,هم رای
28,کرکس,نسر
29,فصل بهار,ربیع
30,بی سروصدا,آرام
31,پسوند شباهت,سا
32,فلز فرنگی,متال
33,دانش‌ها,علوم
34,رودی در فرانسه,رن
35,جوانمردی,مروت
36,روش و رفتار,سلوک
37,کلام آرزو,کاش
38,پدر فریدون در شاهنامه,آبتین
39,از غذاهای شیرازی,حلوای کاسه
40,از بازیگران سریال قبله عالم,هادی کاظمی
41,صید و شکار,نخجیر
42,برخورداری,استمتاع
43,سینمای هند,بالیوود
44,رشته‌ای در شمشیربازی,اپه
45,زادگاه ناپلئون,کرس
46,رایحه,بو
47,ماشین نویسی,تایپ
48,انتظار و نگرانی,یرمر
49,افسار گسیخته,ول
50,از شهرهای سوئیس,لوکارنو
51,جمع امت,امم
52,یک میزان,یکنواخت
53,نمی شنود,کر
54,دردها,الام
55,از اعیاد هندی‌ها,هولی
56,پرنده تنها,قو
57,زبان مردم تایلند,تای
58,بوسه,ماچ
59,نوعی گل زینتی,استکانی
60,قسمتی از خانه قدیمی,زیرزمین
61,پرستوها,ابابیل
62,سوار بی‌همتا,یکه‌تاز
63,از شهرهای ژاپن,ساپورو
64,کشوری اروپایی,کرواسی
65,دام صیاد,تله
66,جا و محل,مکان
67,واحد حجم مایعات,لیتر
68,نت سوم موسیقی,می
69,قطار شهری,تراموای
70,بوی پشم سوخته,کز
71,از پرندگان,توکا
72,فالگیر,رمال
73,مادر وطن,مام
74,ورم غده بنا گوشی,اوریون
75,از شاعران ایرانی,خاقانی
76,ازغذاهای ایرانی,عدس‌پلو
77,نام اصلی چنگیزخان مغول,تموچین
78,ورزش آمادگی جسمانی,بدنسازی
79,لقبی در هندوستان,راجا
80,دوش و کتف,خا
81,اشرف مخلوقات,آدم
82,قبیله وحشی پرو,رمو
83,گذشتن بر چیزی,مر
84,برق رسان اتومبیل,وایر
85,توطئه پنهانى,دسیسه
