,text
0,کفن سیاه اثری از میرزاده عشقی است.
1,یاسا قانون مغولی است.
2,با حرف همراهی است.
3,وبر پشم شتر است.
4,متد معادل روش و شیوه است.
5,سی عدد ماه است.
6,مرئی قابل مشاهده است.
7,کارتونک تار عنکبوت است.
8,نبات از سوغات مشهد است.
9,مسیل محل عبور سیل است.
10,حظ معادل لذت است.
11,رکع گزیدن مار است.
12,سلم از پسران فریدون است.
13,دی از ماه‌های زمستان است.
14,کسانی که از اولاد امام علی (ع) باشند، علوی است.
15,الوا صبر زرد است.
16,مهر و کین اثری از گلچین گیلانی است.
17,تمام معادل پایان است.
18,کخ کاشف میکروب‌سل است.
19,حرم گرداگرد اماکن‌مقدس است.
20,کاج از درختان است.
21,را علامت مفعولی است.
22,راسی معادل استوار است.
23,کیانشهر از شهرهای استان‌کرمان است.
24,کیوسک معادل باجه و گیشه است.
25,مرده متحرک سریالی با بازی اندرو لینکلن است.
26,فابیانسکی دروازه بان اسبق تیم آرسنال است.
27,هم رای هم عقیده است.
28,نسر معادل کرکس است.
29,ربیع فصل بهار است.
30,آرام بی سروصدا است.
31,سا پسوند شباهت است.
32,متال فلز فرنگی است.
33,علوم معادل دانش‌ها است.
34,رن رودی در فرانسه است.
35,مروت معادل جوانمردی است.
36,سلوک معادل روش و رفتار است.
37,کاش کلام آرزو است.
38,آبتین پدر فریدون در شاهنامه است.
39,حلوای کاسه از غذاهای شیرازی است.
40,هادی کاظمی از بازیگران سریال قبله عالم است.
41,نخجیر معادل صید و شکار است.
42,استمتاع معادل برخورداری است.
43,بالیوود سینمای هند است.
44,اپه رشته‌ای در شمشیربازی است.
45,کرس زادگاه ناپلئون است.
46,بو معادل رایحه است.
47,تایپ ماشین نویسی است.
48,یرمر معادل انتظار و نگرانی است.
49,افسار گسیخته، ول است.
50,لوکارنو از شهرهای سوئیس است.
51,امم جمع امت است.
52,یکنواخت یک میزان است.
53,کر معادل نمی‌شنود است.
54,الام معادل دردها است.
55,هولی از اعیاد هندی‌ها است.
56,قو پرنده تنها است.
57,تای زبان مردم تایلند است.
58,ماچ معادل بوسه است.
59,استکانی نوعی گل زینتی است.
60,زیرزمین قسمتی از خانه قدیمی است.
61,ابابیل معادل پرستوها است.
62,یکه‌تاز سوار بی‌همتا است.
63,ساپورو از شهرهای ژاپن است.
64,کرواسی کشوری اروپایی است.
65,تله دام صیاد است.
66,مکان معادل جا و محل است.
67,لیتر واحد حجم مایعات است.
68,می‌نت سوم موسیقی است.
69,تراموای قطار شهری است.
70,کز بوی پشم سوخته است.
71,توکا از پرندگان است.
72,رمال معادل فالگیر است.
73,مام مادر وطن است.
74,اوریون ورم غده بنا گوشی است.
75,خاقانی از شاعران ایرانی است.
76,عدس‌پلو ازغذاهای ایرانی است.
77,تموچین نام اصلی چنگیزخان مغول است.
78,بدنسازی ورزش آمادگی جسمانی است.
79,راجا لقبی در هندوستان است.
80,خا معادل دوش و کتف است.
81,آدم اشرف مخلوقات است.
82,رمو قبیله وحشی پرو است.
83,مر گذشتن بر چیزی است.
84,وایر برق رسان اتومبیل است.
85,دسیسه توطئه پنهانى است.
86,نیکوزیا پایتخت قبرس است.
87,سانتر اصطلاحی در فوتبال است.
88,اتوس از سه‌تفنگدار دوما است.
89,یز خار روی دیوار است.
90,لخم گوشت بی استخوان است.
91,نمو رشد کردن است.
92,سل بیماری خطرناک است.
93,کفچه نوعی مار است.
94,تصویرها فیلمی از رابرت آلتمن است.
95,برامدن طلوع کردن است.
96,الست روز ازل است.
97,دادرسی معادل محاکمه است.
98,تخلص لقب شاعر در شعر است.
99,سوره ۵۳ قرآن‌کریم که ۶۲ آیه دارد، نجم است.
100,یک‌سوم معادل ثلث است.
101,وسواس دقت بیمارگونه است.
102,کی چه وقتی؟ است.
103,راهزن دزد سرگردنه است.
104,نفر واحد شمارش شتر است.
105,زخمی معادل مجروح است.
106,یتیمچه غذایی از بادمجان است.
107,یاور سرگرد قدیم است.
108,آرزوها معادل آمال است.
109,کانگورو حیوان استرالیایی است.
110,ارس، نوعی درخت که گونه‌ای سرو است.
111,رهی شاعر مسافر است.
112,تماشاگر معادل نظاره‌گر است.
113,منجی نجات دهنده است.
114,وا کلام تعجب بانوان است.
115,اسیری گرفتار شدن است.
116,نت الفبای‌ موسیقی است.
117,هلند کشور گل لاله است.
118,دار از وسایل اعدام است.
119,هدر معادل تلف و بیهوده است.
120,ونوس الهه عشق و زیبایی است.
121,ای حرف ندا است.
122,نخ‌نما معادل فرسوده و کهنه است.
123,مت هم‌بازی پت است.
124,تاتی راه رفتن کودکانه است.
125,تورینگن ایالتی در آلمان است.
126,لرد از القاب اروپایی است.
127,کاو آینه مقعر است.
128,کمالشهر از شهرهای استان البرز است.
129,کاتماندو پایتخت نپال است.
130,متلک سخن ‌نیش‌دار است.
131,ارمنستان کشور همسایه ترکیه است.
132,تورم معضل اقتصادی است.
133,نساجی معادل بافندگی است.
134,رون معادل امتحان و تجربه است.
135,ردا بالاپوش بلند قدیمی است.
136,شیره شهد شیرین است.
137,سختی معادل مشکل و دشواری است.
138,ورا پشت سر و عقب است.
139,یله معادل آزاد و رها است.
140,نانکش بار درخت است.
141,رهگو معادل خواننده است.
142,ندامتگاه معادل زندان است.
143,ویرا معادل زیرک و باهوش است.
144,دریای‌نور زوج الماس کوه نور است.
145,قرامحمد بانی‌سلسله قراقویونلو است.
146,ازنا شهری در استان لرستان است.
147,تف معادل حرارت و گرمی است.
148,ینا شهری در آلمان است.
149,کست معادل کلم است.
150,بهیار معادل پرستار است.
151,نص کلام معتبر است.
152,بلوچ طایفه‌ای در ایران است.
153,جادو معادل سحر و افسون است.
154,یه یک خودمانی است.
155,احاطه معادل در میان گرفتن چیزی، گرد چیزی برآمدن است.
156,تبر فیلمی از کوستا گاوراس است.
157,وقر معادل بردباری است.
158,وزیری نوعی قطع کتاب است.
159,نس گرداگرد لب و دهان است.
160,اجازه داده شده، مجاز است.
161,اندر داخل، در میان است.
162,ره راه میانبر است.
163,متوهم معادل بیمناک است.
164,هوش معادل عقل و خرد است.
165,رسا صدای بلند و واضح است.
166,بر خشکی، آغوش است.
167,خاور سمت مشرق است.
168,ریسندگی از هنرهای دستی ایرانی است.
169,قایق نجات از فیلم‌های آلفرد هیچکاک است.
170,نامه‌بر نوعی کبوتر! است.
171,رزن از شهرهای همدان است.
172,صاحب معادل مالک است.
173,سنتوری فیلمی از داریوش مهرجویی است.
174,اناب معادل مشک است.
175,آنچه طبیب برای معالجه بیمار تجویز کند، دارو است.
176,دوش شب گذشته است.
177,ما معادل من و شما است.
178,هبوط فرود آمدن است.
179,زمره معادل گروه است.
180,خن انبار کشتی است.
181,کیل معادل پیمانه و اندازه است.
182,هویج خوراک خرگوش است.
183,مراد معادل منظور و مقصود است.
184,متساوی برابر با هم است.
185,قرار معادل عهد و پیمان است.
186,سوگ معادل عزا و ماتم است.
187,دفترچه دفتر کوچک است.
188,ریزه‌کاری ظریف کاری است.
189,شاعری که به سبک نو شعر گوید، نوپرداز است.
190,ماتادور گاوباز اسپانیایی است.
191,نر یکی از دو جنس است.
192,شهرت معادل آوازه است.
193,انک نوعی زردآلوی وحشی است.
194,دش معادل بد و زشت است.
195,کامیونت ماشین‌باری کوچک است.
196,دنی معادل پست و فرومایه است.
197,دریافتن درک کردن است.
198,او ضمیر سوم شخص مفرد است.
199,رزق معادل روزی است.
200,مدور دایره مانند است.
201,گشوده، وا است.
202,استنسیل کاغذ مومی است.
203,درودگری معادل نجاری است.
204,نمناک معادل مرطوب است.
205,داماد یار خوشبخت عروس است.
206,وارنا بندری در بلغارستان است.
207,رودسر از شهرهای استان‌گیلان است.
208,پت معادل آهار است.
209,کمدی فیلم خنده‌دار است.
210,وتو حق ناحق سازمان‌ملل است.
211,راش از درختان جنگلی است.
212,رند معادل حیله‌گر است.
